PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=112 time=136 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=112 time=155 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=112 time=192 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=112 time=68.4 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=112 time=87.2 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=112 time=106 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=112 time=63.6 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=112 time=101 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=112 time=76.5 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=112 time=76.9 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=112 time=178 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=112 time=133 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=112 time=152 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=112 time=172 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=112 time=131 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=112 time=146 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=112 time=166 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=112 time=165 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=112 time=183 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=112 time=109 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=112 time=75.4 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=112 time=95.4 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=112 time=173 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=112 time=148 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=112 time=153 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=112 time=154 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=112 time=64.3 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=112 time=85.2 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=112 time=125 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=112 time=175 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=112 time=163 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=112 time=181 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=112 time=218 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=112 time=138 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=112 time=50.9 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=112 time=71.8 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=112 time=110 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=112 time=170 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=112 time=151 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=112 time=146 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=112 time=123 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=112 time=183 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=112 time=201 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=112 time=137 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=112 time=96.0 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=112 time=155 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=112 time=92.4 ms
64 bytes from 8.8.8.8: icmp_seq=48 ttl=112 time=136 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=112 time=88.2 ms
64 bytes from 8.8.8.8: icmp_seq=50 ttl=112 time=170 ms
64 bytes from 8.8.8.8: icmp_seq=51 ttl=112 time=75.3 ms
64 bytes from 8.8.8.8: icmp_seq=52 ttl=112 time=164 ms
64 bytes from 8.8.8.8: icmp_seq=53 ttl=112 time=103 ms
64 bytes from 8.8.8.8: icmp_seq=54 ttl=112 time=150 ms
64 bytes from 8.8.8.8: icmp_seq=55 ttl=112 time=141 ms
64 bytes from 8.8.8.8: icmp_seq=56 ttl=112 time=201 ms
64 bytes from 8.8.8.8: icmp_seq=57 ttl=112 time=175 ms
64 bytes from 8.8.8.8: icmp_seq=58 ttl=112 time=154 ms
64 bytes from 8.8.8.8: icmp_seq=59 ttl=112 time=91.8 ms
64 bytes from 8.8.8.8: icmp_seq=60 ttl=112 time=81.5 ms
64 bytes from 8.8.8.8: icmp_seq=61 ttl=112 time=67.2 ms
64 bytes from 8.8.8.8: icmp_seq=62 ttl=112 time=66.6 ms
64 bytes from 8.8.8.8: icmp_seq=63 ttl=112 time=108 ms
64 bytes from 8.8.8.8: icmp_seq=64 ttl=112 time=200 ms
64 bytes from 8.8.8.8: icmp_seq=65 ttl=112 time=188 ms
64 bytes from 8.8.8.8: icmp_seq=66 ttl=112 time=144 ms
64 bytes from 8.8.8.8: icmp_seq=67 ttl=112 time=121 ms
64 bytes from 8.8.8.8: icmp_seq=68 ttl=112 time=120 ms
64 bytes from 8.8.8.8: icmp_seq=69 ttl=112 time=138 ms
64 bytes from 8.8.8.8: icmp_seq=70 ttl=112 time=163 ms
